label,ID,time,TD1,CELLS,FB1,FB2,FB3,FB4,RTK1i_blood,RAFi_gut,RAFi_blood,MEKi_gut,MEKi_blood,ERKi_gut,ERKi_blood,AKTi_gut,AKTi_blood,MEKi_V3,RTK1i_gut,ERKi,ERKi_C,RAFi,MEKi,TUMOR,GDC,labelf,gdc
No Treatment,1,56,0.9980559800788772,0.8718625351634324,0.8221995646260362,0.8221995646275077,0.8221995646249131,0.7136740715799552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8718625351634324,0,No Treatment,FALSE
No Treatment,2,56,0.9976190486677639,1.4167581507677947,0.7997170623741828,0.7997170623659676,0.7997170624071889,0.47762677641284534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4167581507677947,0,No Treatment,FALSE
No Treatment,3,56,0.998591001740044,1.7810325398227669,0.9160687243071689,0.9160687243071582,0.9160687243072011,0.7082241299687946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7810325398227669,0,No Treatment,FALSE
No Treatment,4,56,0.995126743122542,1.509583155804687,0.5831460217040549,0.5831460217039773,0.5831460217069243,0.644064559251157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.509583155804687,0,No Treatment,FALSE
No Treatment,5,56,0.9987354433083621,1.4321170351148673,0.9507834721638123,0.9507834721825317,0.9507834723903312,0.6642227110572494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4321170351148673,0,No Treatment,FALSE
No Treatment,6,56,0.9987793107062523,1.0638696829756382,0.9404222203491912,0.9404222203476164,0.9404222203265626,0.7312082139012325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0638696829756382,0,No Treatment,FALSE
No Treatment,7,56,0.9986380742882006,1.4195126960281073,0.9017474032180576,0.9017474032259456,0.9017474032622422,0.7306086993054453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4195126960281073,0,No Treatment,FALSE
No Treatment,8,56,0.9945075169183065,1.2373040413596141,0.5619515004372903,0.5619515004372305,0.5619515004368834,0.5817789367746578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2373040413596141,0,No Treatment,FALSE
No Treatment,9,56,0.9974814217953677,1.1833597319819038,0.7342937671342717,0.7342937671346587,0.7342937671398065,0.7348096644725657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1833597319819038,0,No Treatment,FALSE
No Treatment,10,56,0.9981058338316939,1.0394784481152202,0.8271004764058362,0.8271004764064034,0.8271004764220886,0.6664373746274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0394784481152202,0,No Treatment,FALSE
No Treatment,11,56,0.9982688174652568,1.777760295556632,0.8456344812130953,0.8456344812134162,0.8456344812205764,0.7136250452066231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777760295556632,0,No Treatment,FALSE
No Treatment,12,56,0.9982485867798014,1.8701375376263072,0.8300392142243611,0.8300392142237769,0.8300392142204516,0.8098231622088657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8701375376263072,0,No Treatment,FALSE
No Treatment,13,56,0.9972910588171285,1.4975012669123469,0.7552957020101234,0.7552957020102226,0.7552957020112774,0.5311319151364111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4975012669123469,0,No Treatment,FALSE
No Treatment,14,56,0.9956639072598802,1.7729533571816796,0.6169962146011547,0.6169962145947976,0.6169962146891758,0.5254073578303226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7729533571816796,0,No Treatment,FALSE
No Treatment,15,56,0.9985886302573141,1.41978260952869,0.927061976686919,0.9270619766862345,0.9270619766759991,0.6238516783361716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41978260952869,0,No Treatment,FALSE
No Treatment,16,56,0.9958299296098153,1.1688642306207928,0.5686179042181102,0.5686179042712349,0.5686179054299444,0.8398859222968377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1688642306207928,0,No Treatment,FALSE
No Treatment,17,56,0.9988815561906418,1.1702583000459335,0.9630154943544852,0.963015494355273,0.963015494370888,0.9157167711711439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1702583000459335,0,No Treatment,FALSE
No Treatment,18,56,0.9982485867798014,1.8701375376263072,0.8300392142243611,0.8300392142237769,0.8300392142204516,0.8098231622088657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8701375376263072,0,No Treatment,FALSE
No Treatment,19,56,0.9946593341031115,1.1747506571292057,0.571074783962136,0.5710747839628472,0.5710747840018168,0.7776715303876391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1747506571292057,0,No Treatment,FALSE
No Treatment,20,56,0.9985886302573141,1.41978260952869,0.927061976686919,0.9270619766862345,0.9270619766759991,0.6238516783361716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41978260952869,0,No Treatment,FALSE
No Treatment,21,56,0.9986828193389924,1.6986607271641234,0.9118584164086803,0.91185841640939,0.9118584164158702,0.7990563413121015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6986607271641234,0,No Treatment,FALSE
No Treatment,22,56,0.9846350227460778,1.1828140320526035,0.35555557656916625,0.3555555765238493,0.3555555756006938,0.7081073006199836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1828140320526035,0,No Treatment,FALSE
No Treatment,23,56,0.9972910588171285,1.4975012669123469,0.7552957020101234,0.7552957020102226,0.7552957020112774,0.5311319151364111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4975012669123469,0,No Treatment,FALSE
No Treatment,24,56,0.9950689241549013,1.7663924063131007,0.5844331740715715,0.584433174071537,0.584433174072988,0.6181811954864885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7663924063131007,0,No Treatment,FALSE
